kind,N,phi,gamma,C,lmax,a0_pred,a0_sim,rel_err,log_phi,log_err,log_N,phi_gamma
ba3,50,0.26502772643253236,0.007875848805009689,0.17397958250899428,7.533119230212046,0.02212452260124061,0.0195703125,0.13051452812726475,-1.3279170572387498,-2.03626306981712,3.912023005428146,0.0020873183025180947
ba3,50,0.29249110320284694,0.010521612937932856,0.2250702630702631,7.602778742739934,0.021921809420775328,0.0195703125,0.1201563296843282,-1.2293176102717722,-2.118953314213179,3.912023005428146,0.0030774781756893283
ba3,50,0.3683558379666402,0.010760960225440819,0.2271017249004865,8.344925796853577,0.019972216736727333,0.0195703125,0.020536424072294897,-0.9987031422502964,-3.885506492653222,3.912023005428146,0.003963862521167938
ws,50,0.022004889975550123,0.0010139833940572274,0.38333333333333336,4.103339769457977,0.040617320531729256,0.0425390625,0.04517593607688806,-3.8164451352947055,-3.097168586158482,3.912023005428146,2.231259302326417e-05
ws,50,0.02439024390243903,0.00097498876575286,0.3406666666666666,4.143653613007155,0.040222152291757914,0.0387109375,0.03903844467104195,-3.7135310675447846,-3.2431827421531203,3.912023005428146,2.378021379885025e-05
ws,50,0.0430622009569378,0.0017595373299688077,0.26685714285714285,4.222352962691384,0.0394724619517434,0.0387109375,0.01967207463635824,-3.1450864526760007,-3.9285043478478894,3.912023005428146,7.576955009435058e-05
ws,50,0.022004889975550123,0.0010705731199873725,0.3906666666666666,4.134397251430185,0.04031220430233519,0.0425390625,0.052348548999283026,-3.8164451352947055,-2.9498119568071326,3.912023005428146,2.3557843716103552e-05
ws,50,0.0196078431372549,0.0008172979560192584,0.35666666666666663,4.117478277467487,0.040477849653447924,0.0387109375,0.04564374483175261,-3.9317746340247814,-3.0868667972588955,3.912023005428146,1.6025450118024674e-05
ws,50,0.0171990171990172,0.0006628781762769709,0.428,4.111948902901886,0.0405322805808814,0.0425390625,0.04717503868635092,-4.062844895220369,-3.0538691702412204,3.912023005428146,1.1400853154640777e-05
ws,50,0.02439024390243903,0.0011193038982570958,0.4046666666666667,4.168823239419422,0.03997930761148746,0.0387109375,0.032765161305831354,-3.7135310675447846,-3.4183589636323988,3.912023005428146,2.7300095079441366e-05
ws,50,0.0171990171990172,0.0007133742715321745,0.4033333333333334,4.145895865056258,0.04020039868136077,0.0387109375,0.03847649469509156,-4.062844895220369,-3.2576817619805776,3.912023005428146,1.2269336365418234e-05
er,60,0.1295676429567643,0.00581502397625,0.08611111111111111,6.155110778035336,0.02707776881310094,0.027226562500000002,0.005465019203179364,-2.043544476833292,-5.209204678277279,4.0943445622221,0.0007534389503397838
er,60,0.1224468636599274,0.005151419704582549,0.06875078625078626,7.045656054059486,0.023655237409813467,0.0233984375,0.01097508796531675,-2.1000699423680254,-4.512036193697928,4.0943445622221,0.0006307751862220829
